occurrencedate,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofweek,occurrencehour,mci_category,premises_type
2014-01-03,2014,January,3,Friday,11,Assault,Apartment
2014-01-03,2014,January,3,Friday,14,Break and Enter,House
2014-01-03,2014,January,3,Friday,13,Assault,Outside
2014-01-03,2014,January,3,Friday,12,Theft Over,Commercial
2014-01-03,2014,January,3,Friday,14,Robbery,Commercial
2014-01-02,2014,January,2,Thursday,23,Break and Enter,Commercial
2014-01-02,2014,January,2,Thursday,22,Assault,Commercial
2013-12-31,2013,December,31,Tuesday,11,Theft Over,Outside
2014-01-03,2014,January,3,Friday,17,Assault,Apartment
2014-01-03,2014,January,3,Friday,20,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,15,Break and Enter,House
2014-01-03,2014,January,3,Friday,13,Break and Enter,House
2014-01-03,2014,January,3,Friday,14,Assault,Outside
2014-01-03,2014,January,3,Friday,20,Assault,Apartment
2014-01-03,2014,January,3,Friday,18,Break and Enter,House
2013-12-18,2013,December,18,Wednesday,19,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,20,Break and Enter,House
2014-01-03,2014,January,3,Friday,8,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,NA,Assault,Other
2014-01-03,2014,January,3,Friday,11,Assault,Commercial
2014-01-03,2014,January,3,Friday,14,Theft Over,Commercial
2014-01-03,2014,January,3,Friday,22,Assault,Outside
2014-01-03,2014,January,3,Friday,5,Assault,Commercial
2014-01-03,2014,January,3,Friday,9,Robbery,Commercial
2014-01-03,2014,January,3,Friday,19,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,17,Auto Theft,Outside
2014-01-02,2014,January,2,Thursday,23,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,17,Auto Theft,Outside
2013-12-20,2013,December,20,Friday,3,Auto Theft,House
2014-01-02,2014,January,2,Thursday,20,Auto Theft,Outside
2014-01-02,2014,January,2,Thursday,18,Auto Theft,Apartment
2014-01-04,2014,January,4,Saturday,NA,Assault,Apartment
2014-01-04,2014,January,4,Saturday,NA,Assault,Commercial
2014-01-04,2014,January,4,Saturday,1,Assault,Apartment
2014-01-04,2014,January,4,Saturday,NA,Assault,Commercial
2014-01-04,2014,January,4,Saturday,NA,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,2,Theft Over,Outside
2014-01-04,2014,January,4,Saturday,4,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,1,Assault,Apartment
2014-01-04,2014,January,4,Saturday,1,Assault,Apartment
2014-01-04,2014,January,4,Saturday,3,Assault,Apartment
2014-01-04,2014,January,4,Saturday,10,Assault,Apartment
2013-11-27,2013,November,27,Wednesday,20,Assault,Apartment
2014-01-04,2014,January,4,Saturday,2,Assault,House
2014-01-03,2014,January,3,Friday,17,Break and Enter,Commercial
2014-01-03,2014,January,3,Friday,20,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,12,Assault,Apartment
2014-01-04,2014,January,4,Saturday,12,Assault,Commercial
2014-01-04,2014,January,4,Saturday,12,Assault,Commercial
2014-01-04,2014,January,4,Saturday,12,Assault,Outside
2014-01-04,2014,January,4,Saturday,11,Robbery,Apartment
2014-01-02,2014,January,2,Thursday,15,Break and Enter,House
2014-01-04,2014,January,4,Saturday,NA,Break and Enter,Apartment
2013-12-25,2013,December,25,Wednesday,18,Break and Enter,House
2014-01-04,2014,January,4,Saturday,14,Assault,Apartment
2014-01-03,2014,January,3,Friday,14,Break and Enter,House
2014-01-04,2014,January,4,Saturday,15,Assault,Commercial
2014-01-04,2014,January,4,Saturday,15,Assault,Commercial
2014-01-04,2014,January,4,Saturday,13,Assault,House
2014-01-03,2014,January,3,Friday,21,Theft Over,Outside
2014-01-02,2014,January,2,Thursday,4,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,14,Break and Enter,House
2014-01-04,2014,January,4,Saturday,13,Assault,Apartment
2014-01-04,2014,January,4,Saturday,16,Assault,Other
2014-01-04,2014,January,4,Saturday,17,Assault,Apartment
2014-01-04,2014,January,4,Saturday,15,Assault,House
2014-01-04,2014,January,4,Saturday,18,Assault,House
2014-01-04,2014,January,4,Saturday,19,Assault,Apartment
2014-01-03,2014,January,3,Friday,20,Break and Enter,Commercial
2014-01-04,2014,January,4,Saturday,22,Assault,Apartment
2014-01-04,2014,January,4,Saturday,20,Assault,Apartment
2014-01-04,2014,January,4,Saturday,20,Assault,Apartment
2013-12-30,2013,December,30,Monday,2,Assault,Commercial
2013-12-30,2013,December,30,Monday,NA,Break and Enter,Apartment
2014-01-04,2014,January,4,Saturday,20,Assault,Commercial
2014-01-04,2014,January,4,Saturday,22,Assault,Commercial
2014-01-04,2014,January,4,Saturday,22,Assault,Commercial
2014-01-04,2014,January,4,Saturday,21,Assault,Other
2014-01-04,2014,January,4,Saturday,21,Assault,Other
2014-01-04,2014,January,4,Saturday,3,Assault,Outside
2014-01-04,2014,January,4,Saturday,21,Robbery,Commercial
2014-01-04,2014,January,4,Saturday,19,Break and Enter,House
2013-12-30,2013,December,30,Monday,18,Assault,Apartment
2014-01-04,2014,January,4,Saturday,23,Robbery,Commercial
2014-01-04,2014,January,4,Saturday,23,Robbery,Commercial
2014-01-04,2014,January,4,Saturday,23,Assault,Other
2014-01-04,2014,January,4,Saturday,23,Assault,Commercial
2014-01-04,2014,January,4,Saturday,19,Break and Enter,House
2014-01-04,2014,January,4,Saturday,19,Assault,Apartment
2014-01-04,2014,January,4,Saturday,23,Break and Enter,House
2014-01-04,2014,January,4,Saturday,19,Break and Enter,House
2013-01-04,2013,January,4,Friday,22,Robbery,Outside
2013-11-15,2013,November,15,Friday,NA,Assault,Apartment
2014-01-03,2014,January,3,Friday,11,Auto Theft,Outside
2014-01-04,2014,January,4,Saturday,19,Auto Theft,House
2014-01-04,2014,January,4,Saturday,19,Auto Theft,House
2014-01-03,2014,January,3,Friday,11,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,12,Auto Theft,Outside
2014-01-04,2014,January,4,Saturday,NA,Auto Theft,Outside
2014-01-05,2014,January,5,Sunday,NA,Assault,House
2014-01-06,2014,January,6,Monday,11,Assault,Outside
2014-01-06,2014,January,6,Monday,13,Assault,Apartment
2014-01-06,2014,January,6,Monday,12,Assault,House
2014-01-03,2014,January,3,Friday,23,Assault,Other
1996-01-31,NA,None,NA,None,NA,Assault,House
2014-01-06,2014,January,6,Monday,14,Assault,Commercial
2014-01-06,2014,January,6,Monday,11,Break and Enter,House
2014-01-06,2014,January,6,Monday,16,Assault,Apartment
2014-01-06,2014,January,6,Monday,15,Assault,Other
2014-01-06,2014,January,6,Monday,15,Robbery,Other
2014-01-06,2014,January,6,Monday,14,Assault,Apartment
2014-01-06,2014,January,6,Monday,16,Assault,Apartment
2013-12-31,2013,December,31,Tuesday,21,Break and Enter,Commercial
2014-01-06,2014,January,6,Monday,19,Assault,Apartment
2014-01-06,2014,January,6,Monday,7,Break and Enter,House
2014-01-06,2014,January,6,Monday,20,Assault,Apartment
2013-12-17,2013,December,17,Tuesday,12,Theft Over,Commercial
2014-01-06,2014,January,6,Monday,12,Break and Enter,Other
2014-01-06,2014,January,6,Monday,18,Break and Enter,Apartment
2013-12-30,2013,December,30,Monday,NA,Break and Enter,Apartment
2013-12-30,2013,December,30,Monday,18,Robbery,Outside
2014-01-06,2014,January,6,Monday,11,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,16,Assault,Outside
2014-01-06,2014,January,6,Monday,19,Assault,Apartment
2014-01-06,2014,January,6,Monday,17,Assault,House
2013-12-31,2013,December,31,Tuesday,15,Break and Enter,Commercial
2013-12-28,2013,December,28,Saturday,16,Break and Enter,House
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,19,Robbery,Apartment
2014-01-06,2014,January,6,Monday,18,Break and Enter,House
2014-01-06,2014,January,6,Monday,19,Robbery,Outside
2014-01-06,2014,January,6,Monday,20,Assault,House
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,22,Robbery,Outside
2014-01-06,2014,January,6,Monday,18,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,21,Assault,House
2014-01-06,2014,January,6,Monday,20,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,17,Break and Enter,Apartment
2014-01-06,2014,January,6,Monday,22,Assault,Apartment
2014-01-06,2014,January,6,Monday,12,Break and Enter,House
2013-11-11,2013,November,11,Monday,15,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,2,Assault,Apartment
2013-12-19,2013,December,19,Thursday,13,Break and Enter,Educational
2014-01-01,2014,January,1,Wednesday,12,Assault,Apartment
2013-12-28,2013,December,28,Saturday,16,Auto Theft,House
2014-01-06,2014,January,6,Monday,8,Auto Theft,House
2014-01-06,2014,January,6,Monday,9,Auto Theft,House
2014-01-06,2014,January,6,Monday,16,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,1,Assault,House
2014-01-06,2014,January,6,Monday,22,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,2,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,2,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,2,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,5,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,8,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,8,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,4,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,3,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,5,Break and Enter,Commercial
2013-12-22,2013,December,22,Sunday,14,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,9,Assault,Apartment
2014-01-06,2014,January,6,Monday,23,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,11,Assault,Other
2014-01-07,2014,January,7,Tuesday,12,Assault,House
2014-01-06,2014,January,6,Monday,16,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,10,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,12,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,13,Assault,Apartment
2014-01-03,2014,January,3,Friday,10,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,12,Assault,Commercial
2014-01-03,2014,January,3,Friday,11,Break and Enter,House
2013-09-26,2013,September,26,Thursday,11,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,2,Break and Enter,Commercial
2014-01-07,2014,January,7,Tuesday,10,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,11,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,11,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,8,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,15,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,16,Assault,Outside
2014-01-07,2014,January,7,Tuesday,16,Assault,Outside
2014-01-07,2014,January,7,Tuesday,12,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,17,Assault,Commercial
2014-01-07,2014,January,7,Tuesday,17,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,17,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,15,Assault,Other
2014-01-07,2014,January,7,Tuesday,17,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,17,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,17,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,16,Robbery,Commercial
2014-01-07,2014,January,7,Tuesday,16,Robbery,Apartment
2014-01-07,2014,January,7,Tuesday,18,Robbery,Outside
2013-12-26,2013,December,26,Thursday,14,Assault,Apartment
2014-01-07,2014,January,7,Tuesday,9,Break and Enter,Apartment
2013-12-20,2013,December,20,Friday,12,Assault,Outside
2014-01-02,2014,January,2,Thursday,23,Robbery,Outside
2014-01-07,2014,January,7,Tuesday,13,Break and Enter,House
2014-01-08,2014,January,8,Wednesday,13,Break and Enter,House
2013-12-26,2013,December,26,Thursday,19,Break and Enter,House
2014-01-08,2014,January,8,Wednesday,20,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,14,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,12,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,19,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,19,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,19,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,19,Break and Enter,House
2014-01-08,2014,January,8,Wednesday,7,Break and Enter,Apartment
2014-01-08,2014,January,8,Wednesday,21,Robbery,Outside
2014-01-08,2014,January,8,Wednesday,13,Break and Enter,House
2014-01-08,2014,January,8,Wednesday,16,Assault,House
2014-01-08,2014,January,8,Wednesday,16,Assault,House
2014-01-08,2014,January,8,Wednesday,16,Assault,House
2014-01-08,2014,January,8,Wednesday,22,Robbery,Outside
2014-01-08,2014,January,8,Wednesday,15,Theft Over,Apartment
2014-01-08,2014,January,8,Wednesday,10,Break and Enter,House
2014-01-08,2014,January,8,Wednesday,21,Robbery,Commercial
2014-01-08,2014,January,8,Wednesday,9,Assault,Other
2014-01-04,2014,January,4,Saturday,20,Assault,Other
2014-01-08,2014,January,8,Wednesday,12,Assault,Commercial
2013-12-01,2013,December,1,Sunday,8,Assault,House
2013-12-07,2013,December,7,Saturday,8,Assault,House
2014-01-08,2014,January,8,Wednesday,15,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,15,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,15,Break and Enter,Apartment
2014-01-07,2014,January,7,Tuesday,23,Auto Theft,Outside
2014-01-07,2014,January,7,Tuesday,19,Auto Theft,Outside
2014-01-07,2014,January,7,Tuesday,21,Auto Theft,Outside
2014-01-08,2014,January,8,Wednesday,15,Auto Theft,Outside
2014-01-08,2014,January,8,Wednesday,2,Auto Theft,Outside
2014-01-08,2014,January,8,Wednesday,9,Auto Theft,Outside
2014-01-08,2014,January,8,Wednesday,21,Auto Theft,Commercial
2014-01-08,2014,January,8,Wednesday,21,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,23,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,23,Assault,Apartment
2014-01-09,2014,January,9,Thursday,1,Break and Enter,Apartment
2014-01-09,2014,January,9,Thursday,2,Break and Enter,Commercial
2014-01-09,2014,January,9,Thursday,1,Break and Enter,Commercial
2014-01-09,2014,January,9,Thursday,2,Robbery,Outside
2014-01-09,2014,January,9,Thursday,2,Robbery,Outside
2014-01-09,2014,January,9,Thursday,5,Assault,Apartment
2014-01-09,2014,January,9,Thursday,5,Assault,Apartment
2013-12-25,2013,December,25,Wednesday,7,Assault,Apartment
2014-01-09,2014,January,9,Thursday,8,Assault,Apartment
2014-01-09,2014,January,9,Thursday,8,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,20,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,13,Assault,Educational
2014-01-06,2014,January,6,Monday,NA,Theft Over,Commercial
2014-01-09,2014,January,9,Thursday,11,Assault,Apartment
2014-01-09,2014,January,9,Thursday,12,Assault,Apartment
2014-01-09,2014,January,9,Thursday,10,Assault,Educational
2014-01-09,2014,January,9,Thursday,11,Break and Enter,Apartment
2014-01-09,2014,January,9,Thursday,9,Assault,Apartment
2014-01-08,2014,January,8,Wednesday,12,Theft Over,House
2014-01-09,2014,January,9,Thursday,9,Break and Enter,Commercial
2014-01-08,2014,January,8,Wednesday,21,Assault,House
2014-01-08,2014,January,8,Wednesday,13,Robbery,Educational
2014-01-09,2014,January,9,Thursday,10,Break and Enter,Commercial
2014-01-09,2014,January,9,Thursday,10,Break and Enter,House
2014-01-09,2014,January,9,Thursday,12,Assault,Commercial
2014-01-09,2014,January,9,Thursday,12,Assault,Outside
2013-12-21,2013,December,21,Saturday,16,Break and Enter,Commercial
2013-12-06,2013,December,6,Friday,3,Theft Over,House
2014-01-09,2014,January,9,Thursday,14,Break and Enter,House
2014-01-09,2014,January,9,Thursday,14,Robbery,Outside
2013-12-27,2013,December,27,Friday,15,Break and Enter,Other
2013-12-28,2013,December,28,Saturday,NA,Break and Enter,House
2014-01-09,2014,January,9,Thursday,3,Break and Enter,Commercial
2014-01-09,2014,January,9,Thursday,14,Assault,Commercial
2014-01-09,2014,January,9,Thursday,16,Assault,Apartment
2014-01-09,2014,January,9,Thursday,16,Assault,Other
2014-01-09,2014,January,9,Thursday,14,Break and Enter,House
2014-01-09,2014,January,9,Thursday,9,Break and Enter,House
2014-01-09,2014,January,9,Thursday,10,Assault,Educational
2014-01-09,2014,January,9,Thursday,13,Break and Enter,House
2014-01-09,2014,January,9,Thursday,15,Assault,House
2014-01-09,2014,January,9,Thursday,18,Assault,Outside
2014-01-09,2014,January,9,Thursday,16,Assault,Transit
2014-01-09,2014,January,9,Thursday,17,Assault,Outside
2014-01-09,2014,January,9,Thursday,17,Assault,Outside
2014-01-08,2014,January,8,Wednesday,16,Robbery,Commercial
2014-01-09,2014,January,9,Thursday,10,Theft Over,Commercial
2014-01-01,2014,January,1,Wednesday,19,Break and Enter,House
2014-01-09,2014,January,9,Thursday,17,Assault,Educational
2013-12-26,2013,December,26,Thursday,14,Theft Over,Other
2014-01-09,2014,January,9,Thursday,6,Break and Enter,House
2014-01-09,2014,January,9,Thursday,19,Assault,Other
2014-01-03,2014,January,3,Friday,10,Assault,House
2014-01-08,2014,January,8,Wednesday,12,Assault,Educational
2014-01-09,2014,January,9,Thursday,21,Robbery,Outside
2014-01-09,2014,January,9,Thursday,22,Assault,Apartment
2014-01-09,2014,January,9,Thursday,21,Robbery,Outside
2014-01-08,2014,January,8,Wednesday,22,Assault,Other
2014-01-09,2014,January,9,Thursday,23,Assault,Apartment
2014-01-09,2014,January,9,Thursday,21,Robbery,Commercial
2014-01-03,2014,January,3,Friday,6,Break and Enter,Commercial
2014-01-09,2014,January,9,Thursday,23,Assault,Apartment
2014-01-09,2014,January,9,Thursday,19,Break and Enter,Apartment
2013-12-26,2013,December,26,Thursday,19,Break and Enter,Commercial
2012-03-01,2012,March,1,Thursday,NA,Assault,Apartment
2013-12-31,2013,December,31,Tuesday,17,Auto Theft,Apartment
2014-01-01,2014,January,1,Wednesday,15,Auto Theft,Outside
2013-12-25,2013,December,25,Wednesday,NA,Auto Theft,Outside
2014-01-01,2014,January,1,Wednesday,23,Assault,Apartment
2014-01-02,2014,January,2,Thursday,1,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,22,Assault,Outside
2013-12-31,2013,December,31,Tuesday,12,Robbery,Commercial
2014-01-02,2014,January,2,Thursday,8,Assault,Apartment
2014-01-02,2014,January,2,Thursday,9,Assault,Apartment
2014-01-02,2014,January,2,Thursday,NA,Break and Enter,Commercial
2014-01-02,2014,January,2,Thursday,8,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,20,Break and Enter,House
2013-06-27,2013,June,27,Thursday,3,Assault,Commercial
2014-01-02,2014,January,2,Thursday,11,Assault,House
2014-01-02,2014,January,2,Thursday,11,Assault,House
2013-12-31,2013,December,31,Tuesday,23,Break and Enter,Commercial
2013-12-30,2013,December,30,Monday,22,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,10,Break and Enter,Commercial
2013-11-21,2013,November,21,Thursday,10,Assault,Educational
2014-01-01,2014,January,1,Wednesday,18,Assault,Commercial
2014-01-02,2014,January,2,Thursday,10,Robbery,Outside
2013-12-31,2013,December,31,Tuesday,13,Break and Enter,Other
2014-01-02,2014,January,2,Thursday,14,Assault,Commercial
2014-01-02,2014,January,2,Thursday,12,Break and Enter,Apartment
2014-01-01,2014,January,1,Wednesday,1,Break and Enter,Other
2013-12-31,2013,December,31,Tuesday,13,Break and Enter,House
2014-01-02,2014,January,2,Thursday,14,Break and Enter,Other
2014-01-02,2014,January,2,Thursday,16,Assault,House
2014-01-02,2014,January,2,Thursday,11,Break and Enter,Apartment
2013-12-31,2013,December,31,Tuesday,14,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,2,Assault,Commercial
2014-01-02,2014,January,2,Thursday,18,Assault,House
2013-12-30,2013,December,30,Monday,6,Break and Enter,Commercial
2014-01-02,2014,January,2,Thursday,19,Assault,House
2013-12-24,2013,December,24,Tuesday,NA,Break and Enter,Apartment
2014-01-01,2014,January,1,Wednesday,12,Assault,Apartment
2014-01-02,2014,January,2,Thursday,18,Assault,House
2014-01-02,2014,January,2,Thursday,18,Assault,House
2014-01-02,2014,January,2,Thursday,16,Break and Enter,Apartment
2013-12-31,2013,December,31,Tuesday,12,Break and Enter,House
2014-01-01,2014,January,1,Wednesday,1,Assault,Apartment
2014-01-02,2014,January,2,Thursday,22,Assault,Outside
2014-01-02,2014,January,2,Thursday,22,Assault,Outside
2014-01-02,2014,January,2,Thursday,22,Assault,Outside
2014-01-02,2014,January,2,Thursday,14,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,21,Assault,Apartment
2014-01-02,2014,January,2,Thursday,16,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,18,Theft Over,Commercial
2014-01-02,2014,January,2,Thursday,9,Break and Enter,House
2014-01-02,2014,January,2,Thursday,11,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,20,Break and Enter,House
2013-12-23,2013,December,23,Monday,14,Break and Enter,Commercial
2013-12-24,2013,December,24,Tuesday,2,Theft Over,Apartment
2014-01-02,2014,January,2,Thursday,20,Robbery,Outside
2014-01-02,2014,January,2,Thursday,21,Robbery,Outside
2014-01-02,2014,January,2,Thursday,20,Theft Over,Commercial
2014-01-02,2014,January,2,Thursday,21,Assault,Outside
2014-01-02,2014,January,2,Thursday,21,Assault,Outside
2014-01-02,2014,January,2,Thursday,19,Robbery,Outside
2014-01-02,2014,January,2,Thursday,9,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,23,Assault,Apartment
2014-01-02,2014,January,2,Thursday,23,Assault,Apartment
2014-01-02,2014,January,2,Thursday,6,Break and Enter,Apartment
2014-01-01,2014,January,1,Wednesday,2,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,2,Assault,Commercial
2013-05-01,2013,May,1,Wednesday,NA,Assault,Apartment
2013-05-01,2013,May,1,Wednesday,NA,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,17,Break and Enter,Apartment
2014-01-02,2014,January,2,Thursday,NA,Assault,Apartment
2014-01-02,2014,January,2,Thursday,14,Break and Enter,House
2014-01-02,2014,January,2,Thursday,9,Auto Theft,Outside
2014-01-02,2014,January,2,Thursday,1,Auto Theft,House
2014-01-01,2014,January,1,Wednesday,15,Auto Theft,Outside
2014-01-01,2014,January,1,Wednesday,19,Auto Theft,Outside
2014-01-03,2014,January,3,Friday,NA,Break and Enter,House
2014-01-03,2014,January,3,Friday,NA,Assault,House
2014-01-03,2014,January,3,Friday,1,Assault,Apartment
2014-01-02,2014,January,2,Thursday,22,Break and Enter,Commercial
2014-01-03,2014,January,3,Friday,2,Break and Enter,Commercial
2014-01-03,2014,January,3,Friday,2,Assault,Outside
2014-01-03,2014,January,3,Friday,1,Assault,Outside
2014-01-03,2014,January,3,Friday,1,Assault,Outside
2014-01-03,2014,January,3,Friday,3,Break and Enter,Commercial
2014-01-03,2014,January,3,Friday,4,Break and Enter,Commercial
2014-01-03,2014,January,3,Friday,6,Assault,Commercial
2014-01-03,2014,January,3,Friday,3,Break and Enter,Commercial
2014-01-02,2014,January,2,Thursday,13,Assault,Other
2013-01-03,2013,January,3,Thursday,15,Assault,Other
2013-12-31,2013,December,31,Tuesday,11,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,6,Break and Enter,Commercial
2014-01-02,2014,January,2,Thursday,12,Assault,Apartment
2014-01-02,2014,January,2,Thursday,10,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,9,Assault,Apartment
2013-12-24,2013,December,24,Tuesday,22,Robbery,Commercial
2014-01-03,2014,January,3,Friday,9,Robbery,Commercial
2014-01-03,2014,January,3,Friday,14,Assault,Apartment
2013-12-19,2013,December,19,Thursday,13,Break and Enter,Apartment
2014-01-03,2014,January,3,Friday,2,Break and Enter,House
2014-01-03,2014,January,3,Friday,8,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,1,Assault,House
2013-12-31,2013,December,31,Tuesday,21,Assault,Transit
2014-01-01,2014,January,1,Wednesday,1,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,1,Assault,Transit
2014-01-01,2014,January,1,Wednesday,2,Assault,Outside
2013-12-31,2013,December,31,Tuesday,23,Assault,Commercial
2013-12-31,2013,December,31,Tuesday,23,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,2,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,1,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,1,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,NA,Assault,Outside
2014-01-01,2014,January,1,Wednesday,2,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,3,Assault,House
2013-12-31,2013,December,31,Tuesday,22,Assault,House
2013-12-31,2013,December,31,Tuesday,22,Assault,House
2014-01-01,2014,January,1,Wednesday,3,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,4,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,3,Assault,Outside
2014-01-01,2014,January,1,Wednesday,4,Theft Over,Outside
2014-01-01,2014,January,1,Wednesday,4,Assault,Outside
2014-01-01,2014,January,1,Wednesday,2,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,1,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,2,Robbery,Outside
2014-01-01,2014,January,1,Wednesday,2,Robbery,Outside
2014-01-01,2014,January,1,Wednesday,4,Assault,Outside
2014-01-01,2014,January,1,Wednesday,2,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,2,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,1,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,NA,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,NA,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,1,Assault,Transit
2014-01-01,2014,January,1,Wednesday,1,Assault,Transit
2014-01-01,2014,January,1,Wednesday,3,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,NA,Assault,House
2014-01-01,2014,January,1,Wednesday,NA,Assault,Commercial
2014-01-01,2014,January,1,Wednesday,3,Assault,House
2014-01-01,2014,January,1,Wednesday,3,Break and Enter,House
2013-12-31,2013,December,31,Tuesday,19,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,4,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,4,Assault,Outside
2014-01-01,2014,January,1,Wednesday,4,Robbery,Outside
2014-01-01,2014,January,1,Wednesday,7,Assault,Apartment
2013-12-31,2013,December,31,Tuesday,7,Break and Enter,House
2014-01-01,2014,January,1,Wednesday,2,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,9,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,7,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,8,Break and Enter,House
2014-01-01,2014,January,1,Wednesday,8,Assault,Other
2014-01-01,2014,January,1,Wednesday,3,Assault,Outside
2014-01-01,2014,January,1,Wednesday,12,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,11,Assault,Apartment
1998-06-01,NA,None,NA,None,12,Assault,Apartment
2014-01-01,2014,January,1,Wednesday,9,Break and Enter,Commercial
2014-01-01,2014,January,1,Wednesday,11,Assault,Outside
2014-01-01,2014,January,1,Wednesday,1,Assault,Commercial
